Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 27, 2021",33932.13,34043.98,33870.46,33984.93,33984.93,289030000.00
"Apr 26, 2021",34044.23,34148.94,33941.37,33981.57,33981.57,279300000.00
"Apr 23, 2021",33804.52,34157.57,33713.29,34043.49,34043.49,346380000.00
"Apr 22, 2021",34109.88,34126.57,33717.19,33815.90,33815.90,344470000.00
"Apr 21, 2021",33808.30,34160.34,33773.80,34137.31,34137.31,290300000.00
"Apr 20, 2021",34034.18,34034.18,33687.01,33821.30,33821.30,350960000.00
"Apr 19, 2021",34182.38,34182.38,33980.56,34077.63,34077.63,312540000.00
"Apr 16, 2021",34058.16,34256.75,34058.16,34200.67,34200.67,343760000.00
"Apr 15, 2021",33788.53,34068.73,33788.53,34035.99,34035.99,319680000.00
"Apr 14, 2021",33668.95,33911.25,33668.95,33730.89,33730.89,315330000.00
"Apr 13, 2021",33721.16,33741.64,33545.84,33677.27,33677.27,324480000.00
"Apr 12, 2021",33775.06,33786.19,33665.54,33745.40,33745.40,327370000.00
"Apr 09, 2021",33526.19,33810.87,33526.19,33800.60,33800.60,316410000.00
"Apr 08, 2021",33469.89,33506.80,33342.64,33503.57,33503.57,304040000.00
"Apr 07, 2021",33444.98,33521.76,33347.96,33446.26,33446.26,273440000.00
"Apr 06, 2021",33500.02,33544.79,33380.43,33430.24,33430.24,297940000.00
"Apr 05, 2021",33222.38,33617.95,33222.38,33527.19,33527.19,344270000.00
"Apr 01, 2021",33054.58,33167.17,32985.35,33153.21,33153.21,311880000.00
"Mar 31, 2021",33116.04,33173.77,32980.57,32981.55,32981.55,414140000.00
"Mar 30, 2021",33127.88,33170.93,32988.92,33066.96,33066.96,307510000.00
"Mar 29, 2021",33087.55,33259.00,32905.13,33171.37,33171.37,351610000.00
"Mar 26, 2021",32681.07,33098.83,32681.07,33072.88,33072.88,382170000.00
"Mar 25, 2021",32346.81,32672.69,32071.41,32619.48,32619.48,411990000.00
"Mar 24, 2021",32470.88,32787.99,32418.15,32420.06,32420.06,399390000.00
"Mar 23, 2021",32691.50,32753.77,32356.28,32423.15,32423.15,385840000.00
